metric_date,metric_name,metric_value,unit
2025-01-01,Customers,1193,customers
2025-01-01,Transactions,10632,transactions
2025-01-02,Customers,1221,customers
2025-01-02,Transactions,10928,transactions
2025-01-03,Customers,1217,customers
2025-01-03,Transactions,10839,transactions
2025-01-04,Customers,1220,customers
2025-01-04,Transactions,10879,transactions
2025-01-05,Customers,1247,customers
2025-01-05,Transactions,11307,transactions
2025-01-06,Customers,1226,customers
2025-01-06,Transactions,10927,transactions
2025-01-07,Customers,1233,customers
2025-01-07,Transactions,11118,transactions
2025-01-08,Customers,1265,customers
2025-01-08,Transactions,11447,transactions
2025-01-09,Customers,1266,customers
2025-01-09,Transactions,11360,transactions
2025-01-10,Customers,1283,customers
2025-01-10,Transactions,11594,transactions
2025-01-11,Customers,1280,customers
2025-01-11,Transactions,11428,transactions
2025-01-12,Customers,1303,customers
2025-01-12,Transactions,11745,transactions
2025-01-13,Customers,1291,customers
2025-01-13,Transactions,11613,transactions
2025-01-14,Customers,1296,customers
2025-01-14,Transactions,11765,transactions
2025-01-15,Customers,1325,customers
2025-01-15,Transactions,11985,transactions
2025-01-16,Customers,1322,customers
2025-01-16,Transactions,11902,transactions
2025-01-17,Customers,1313,customers
2025-01-17,Transactions,11708,transactions
2025-01-18,Customers,1321,customers
2025-01-18,Transactions,11869,transactions
2025-01-19,Customers,1329,customers
2025-01-19,Transactions,12053,transactions
2025-01-20,Customers,1360,customers
2025-01-20,Transactions,12262,transactions
2025-01-21,Customers,1365,customers
2025-01-21,Transactions,12188,transactions
2025-01-22,Customers,1356,customers
2025-01-22,Transactions,12311,transactions
2025-01-23,Customers,1386,customers
2025-01-23,Transactions,12508,transactions
2025-01-24,Customers,1393,customers
2025-01-24,Transactions,12473,transactions
2025-01-25,Customers,1397,customers
2025-01-25,Transactions,12608,transactions
2025-01-26,Customers,1403,customers
2025-01-26,Transactions,12648,transactions
2025-01-27,Customers,1406,customers
2025-01-27,Transactions,12676,transactions
2025-01-28,Customers,1423,customers
2025-01-28,Transactions,12700,transactions
2025-01-29,Customers,1421,customers
2025-01-29,Transactions,12792,transactions
2025-01-30,Customers,1446,customers
2025-01-30,Transactions,13105,transactions
2025-01-31,Customers,1443,customers
2025-01-31,Transactions,13000,transactions
2025-02-01,Customers,1454,customers
2025-02-01,Transactions,13202,transactions
2025-02-02,Customers,1447,customers
2025-02-02,Transactions,12922,transactions
2025-02-03,Customers,1466,customers
2025-02-03,Transactions,13171,transactions
2025-02-04,Customers,1460,customers
2025-02-04,Transactions,13185,transactions
2025-02-05,Customers,1481,customers
2025-02-05,Transactions,13407,transactions
2025-02-06,Customers,1502,customers
2025-02-06,Transactions,13432,transactions
2025-02-07,Customers,1487,customers
2025-02-07,Transactions,13287,transactions
2025-02-08,Customers,1497,customers
2025-02-08,Transactions,13579,transactions
2025-02-09,Customers,1505,customers
2025-02-09,Transactions,13496,transactions
2025-02-10,Customers,1512,customers
2025-02-10,Transactions,13694,transactions
2025-02-11,Customers,1538,customers
2025-02-11,Transactions,13959,transactions
2025-02-12,Customers,1538,customers
2025-02-12,Transactions,13809,transactions
2025-02-13,Customers,1531,customers
2025-02-13,Transactions,13817,transactions
2025-02-14,Customers,1553,customers
2025-02-14,Transactions,13954,transactions
2025-02-15,Customers,1567,customers
2025-02-15,Transactions,14123,transactions
2025-02-16,Customers,1553,customers
2025-02-16,Transactions,13942,transactions
2025-02-17,Customers,1567,customers
2025-02-17,Transactions,14090,transactions
2025-02-18,Customers,1569,customers
2025-02-18,Transactions,14180,transactions
2025-02-19,Customers,1599,customers
2025-02-19,Transactions,14385,transactions
2025-02-20,Customers,1597,customers
2025-02-20,Transactions,14288,transactions
2025-02-21,Customers,1593,customers
2025-02-21,Transactions,14318,transactions
2025-02-22,Customers,1608,customers
2025-02-22,Transactions,14402,transactions
2025-02-23,Customers,1615,customers
2025-02-23,Transactions,14609,transactions
2025-02-24,Customers,1635,customers
2025-02-24,Transactions,14676,transactions
2025-02-25,Customers,1638,customers
2025-02-25,Transactions,14707,transactions
2025-02-26,Customers,1646,customers
2025-02-26,Transactions,14911,transactions
2025-02-27,Customers,1651,customers
2025-02-27,Transactions,14963,transactions
2025-02-28,Customers,1650,customers
2025-02-28,Transactions,14830,transactions
