metric_date,metric_name,metric_value,unit
2025-01-01,Customers,1213,customers
2025-01-01,Transactions,10942,transactions
2025-01-02,Customers,1210,customers
2025-01-02,Transactions,10918,transactions
2025-01-03,Customers,1240,customers
2025-01-03,Transactions,11050,transactions
2025-01-04,Customers,1258,customers
2025-01-04,Transactions,11222,transactions
2025-01-05,Customers,1270,customers
2025-01-05,Transactions,11478,transactions
2025-01-06,Customers,1293,customers
2025-01-06,Transactions,11661,transactions
2025-01-07,Customers,1309,customers
2025-01-07,Transactions,11741,transactions
2025-01-08,Customers,1340,customers
2025-01-08,Transactions,12006,transactions
2025-01-09,Customers,1335,customers
2025-01-09,Transactions,12066,transactions
2025-01-10,Customers,1369,customers
2025-01-10,Transactions,12281,transactions
2025-01-11,Customers,1372,customers
2025-01-11,Transactions,12295,transactions
2025-01-12,Customers,1395,customers
2025-01-12,Transactions,12468,transactions
2025-01-13,Customers,1422,customers
2025-01-13,Transactions,12843,transactions
2025-01-14,Customers,1428,customers
2025-01-14,Transactions,12849,transactions
2025-01-15,Customers,1447,customers
2025-01-15,Transactions,13140,transactions
2025-01-16,Customers,1479,customers
2025-01-16,Transactions,13430,transactions
2025-01-17,Customers,1475,customers
2025-01-17,Transactions,13157,transactions
2025-01-18,Customers,1505,customers
2025-01-18,Transactions,13584,transactions
2025-01-19,Customers,1527,customers
2025-01-19,Transactions,13648,transactions
2025-01-20,Customers,1529,customers
2025-01-20,Transactions,13778,transactions
2025-01-21,Customers,1551,customers
2025-01-21,Transactions,13968,transactions
2025-01-22,Customers,1571,customers
2025-01-22,Transactions,14052,transactions
2025-01-23,Customers,1610,customers
2025-01-23,Transactions,14459,transactions
2025-01-24,Customers,1627,customers
2025-01-24,Transactions,14540,transactions
2025-01-25,Customers,1645,customers
2025-01-25,Transactions,14747,transactions
2025-01-26,Customers,1646,customers
2025-01-26,Transactions,14766,transactions
2025-01-27,Customers,1658,customers
2025-01-27,Transactions,14914,transactions
2025-01-28,Customers,1697,customers
2025-01-28,Transactions,15292,transactions
2025-01-29,Customers,1711,customers
2025-01-29,Transactions,15356,transactions
2025-01-30,Customers,1726,customers
2025-01-30,Transactions,15620,transactions
2025-01-31,Customers,1745,customers
2025-01-31,Transactions,15720,transactions
2025-02-01,Customers,1743,customers
2025-02-01,Transactions,15737,transactions
2025-02-02,Customers,1787,customers
2025-02-02,Transactions,16104,transactions
2025-02-03,Customers,1788,customers
2025-02-03,Transactions,16210,transactions
2025-02-04,Customers,1818,customers
2025-02-04,Transactions,16268,transactions
2025-02-05,Customers,1845,customers
2025-02-05,Transactions,16709,transactions
2025-02-06,Customers,1837,customers
2025-02-06,Transactions,16480,transactions
2025-02-07,Customers,1854,customers
2025-02-07,Transactions,16793,transactions
2025-02-08,Customers,1872,customers
2025-02-08,Transactions,16918,transactions
2025-02-09,Customers,1904,customers
2025-02-09,Transactions,17055,transactions
2025-02-10,Customers,1913,customers
2025-02-10,Transactions,17169,transactions
2025-02-11,Customers,1942,customers
2025-02-11,Transactions,17411,transactions
2025-02-12,Customers,1963,customers
2025-02-12,Transactions,17634,transactions
2025-02-13,Customers,1965,customers
2025-02-13,Transactions,17740,transactions
2025-02-14,Customers,1997,customers
2025-02-14,Transactions,18071,transactions
2025-02-15,Customers,2003,customers
2025-02-15,Transactions,18036,transactions
2025-02-16,Customers,2028,customers
2025-02-16,Transactions,18196,transactions
2025-02-17,Customers,2059,customers
2025-02-17,Transactions,18643,transactions
2025-02-18,Customers,2076,customers
2025-02-18,Transactions,18577,transactions
2025-02-19,Customers,2069,customers
2025-02-19,Transactions,18663,transactions
2025-02-20,Customers,2098,customers
2025-02-20,Transactions,18974,transactions
2025-02-21,Customers,2111,customers
2025-02-21,Transactions,18890,transactions
2025-02-22,Customers,2121,customers
2025-02-22,Transactions,19054,transactions
2025-02-23,Customers,2163,customers
2025-02-23,Transactions,19380,transactions
2025-02-24,Customers,2177,customers
2025-02-24,Transactions,19540,transactions
2025-02-25,Customers,2180,customers
2025-02-25,Transactions,19689,transactions
2025-02-26,Customers,2207,customers
2025-02-26,Transactions,19884,transactions
2025-02-27,Customers,2233,customers
2025-02-27,Transactions,20086,transactions
2025-02-28,Customers,2246,customers
2025-02-28,Transactions,20096,transactions
