metric_date,metric_name,metric_value,unit
2025-01-01,Customers,1200,customers
2025-01-01,Transactions,10818,transactions
2025-01-02,Customers,1213,customers
2025-01-02,Transactions,10824,transactions
2025-01-03,Customers,1201,customers
2025-01-03,Transactions,10861,transactions
2025-01-04,Customers,1231,customers
2025-01-04,Transactions,11083,transactions
2025-01-05,Customers,1232,customers
2025-01-05,Transactions,11177,transactions
2025-01-06,Customers,1227,customers
2025-01-06,Transactions,10996,transactions
2025-01-07,Customers,1236,customers
2025-01-07,Transactions,11174,transactions
2025-01-08,Customers,1264,customers
2025-01-08,Transactions,11308,transactions
2025-01-09,Customers,1263,customers
2025-01-09,Transactions,11425,transactions
2025-01-10,Customers,1259,customers
2025-01-10,Transactions,11385,transactions
2025-01-11,Customers,1286,customers
2025-01-11,Transactions,11593,transactions
2025-01-12,Customers,1286,customers
2025-01-12,Transactions,11576,transactions
2025-01-13,Customers,1285,customers
2025-01-13,Transactions,11492,transactions
2025-01-14,Customers,1300,customers
2025-01-14,Transactions,11581,transactions
2025-01-15,Customers,1299,customers
2025-01-15,Transactions,11638,transactions
2025-01-16,Customers,1315,customers
2025-01-16,Transactions,11950,transactions
2025-01-17,Customers,1314,customers
2025-01-17,Transactions,11728,transactions
2025-01-18,Customers,1349,customers
2025-01-18,Transactions,12163,transactions
2025-01-19,Customers,1355,customers
2025-01-19,Transactions,12157,transactions
2025-01-20,Customers,1342,customers
2025-01-20,Transactions,11963,transactions
2025-01-21,Customers,1365,customers
2025-01-21,Transactions,12256,transactions
2025-01-22,Customers,1359,customers
2025-01-22,Transactions,12194,transactions
2025-01-23,Customers,1388,customers
2025-01-23,Transactions,12403,transactions
2025-01-24,Customers,1382,customers
2025-01-24,Transactions,12436,transactions
2025-01-25,Customers,1378,customers
2025-01-25,Transactions,12284,transactions
2025-01-26,Customers,1405,customers
2025-01-26,Transactions,12703,transactions
2025-01-27,Customers,1395,customers
2025-01-27,Transactions,12491,transactions
2025-01-28,Customers,1429,customers
2025-01-28,Transactions,12767,transactions
2025-01-29,Customers,1438,customers
2025-01-29,Transactions,12873,transactions
2025-01-30,Customers,1436,customers
2025-01-30,Transactions,12858,transactions
2025-01-31,Customers,1432,customers
2025-01-31,Transactions,12778,transactions
2025-02-01,Customers,1457,customers
2025-02-01,Transactions,13094,transactions
2025-02-02,Customers,1442,customers
2025-02-02,Transactions,13086,transactions
2025-02-03,Customers,1452,customers
2025-02-03,Transactions,12973,transactions
2025-02-04,Customers,1466,customers
2025-02-04,Transactions,13080,transactions
2025-02-05,Customers,1467,customers
2025-02-05,Transactions,13240,transactions
2025-02-06,Customers,1500,customers
2025-02-06,Transactions,13508,transactions
2025-02-07,Customers,1502,customers
2025-02-07,Transactions,13616,transactions
2025-02-08,Customers,1514,customers
2025-02-08,Transactions,13710,transactions
2025-02-09,Customers,1518,customers
2025-02-09,Transactions,13715,transactions
2025-02-10,Customers,1512,customers
2025-02-10,Transactions,13554,transactions
2025-02-11,Customers,1521,customers
2025-02-11,Transactions,13670,transactions
2025-02-12,Customers,1540,customers
2025-02-12,Transactions,13787,transactions
2025-02-13,Customers,1554,customers
2025-02-13,Transactions,13909,transactions
2025-02-14,Customers,1557,customers
2025-02-14,Transactions,14075,transactions
2025-02-15,Customers,1555,customers
2025-02-15,Transactions,14000,transactions
2025-02-16,Customers,1578,customers
2025-02-16,Transactions,14228,transactions
2025-02-17,Customers,1574,customers
2025-02-17,Transactions,14206,transactions
2025-02-18,Customers,1591,customers
2025-02-18,Transactions,14416,transactions
2025-02-19,Customers,1590,customers
2025-02-19,Transactions,14359,transactions
2025-02-20,Customers,1595,customers
2025-02-20,Transactions,14352,transactions
2025-02-21,Customers,1604,customers
2025-02-21,Transactions,14467,transactions
2025-02-22,Customers,1624,customers
2025-02-22,Transactions,14548,transactions
2025-02-23,Customers,1623,customers
2025-02-23,Transactions,14598,transactions
2025-02-24,Customers,1637,customers
2025-02-24,Transactions,14826,transactions
2025-02-25,Customers,1654,customers
2025-02-25,Transactions,14890,transactions
2025-02-26,Customers,1659,customers
2025-02-26,Transactions,14815,transactions
2025-02-27,Customers,1657,customers
2025-02-27,Transactions,15001,transactions
2025-02-28,Customers,1675,customers
2025-02-28,Transactions,14994,transactions
